Full.Country.Name;ISO3.Code;Region.Code
Oman;OMN;Middle East
Pakistan;PAK;OAS
Panama;PAN;LAM
Pitcairn;PCN;OAS
Peru;PER;LAM
Philippines;PHL;OAS
Palau;PLW;OAS
Papua New Guinea;PNG;OAS
Poland;POL;European Union
Puerto Rico;PRI;LAM
Korea, Democratic People's Republic of;PRK;OAS
Portugal;PRT;European Union
Paraguay;PRY;LAM
Palestine, State of;PSE;MEA
French Polynesia;PYF;OAS
Qatar;QAT;Middle East
Reunion;REU;SSA
Romania;ROU;European Union
Russian Federation;RUS;RUS
Rwanda;RWA;SSA
Saudi Arabia;SAU;Middle East
Sudan;SDN;MEA
Senegal;SEN;SSA
Singapore;SGP;OAS
South Georgia and the South Sandwich Islands;SGS;LAM
Saint Helena, Ascension and Tristan da Cunha;SHN;SSA
Svalbard and Jan Mayen;SJM;NEU
Solomon Islands;SLB;OAS
Sierra Leone;SLE;SSA
El Salvador;SLV;LAM
San Marino;SMR;NEU
Somalia;SOM;SSA
Saint Pierre and Miquelon;SPM;CAZ
Serbia;SRB;NEU
South Sudan;SSD;Africa
Sao Tome and Principe;STP;Africa
Suriname;SUR;LAM
Slovakia;SVK;European Union
Slovenia;SVN;European Union
Sweden;SWE;European Union
Swaziland;SWZ;Africa
Sint Maarten (Dutch part);SXM;LAM
Seychelles;SYC;SSA
Syrian Arab Republic;SYR;Middle East
Turks and Caicos Islands;TCA;LAM
Chad;TCD;Africa
Togo;TGO;Africa
Thailand;THA;OAS
Tajikistan;TJK;REF
Tokelau;TKL;OAS
Turkmenistan;TKM;REF
Timor-Leste;TLS;OAS
Tonga;TON;OAS
Trinidad and Tobago;TTO;LAM
Tunisia;TUN;Africa
Turkey;TUR;NEU
Tuvalu;TUV;OAS
Taiwan, Province of China;TWN;CHA
Tanzania, United Republic of;TZA;Africa
Uganda;UGA;SSA
Ukraine;UKR;REF
United States Minor Outlying Islands;UMI;OAS
Uruguay;URY;LAM
United States;USA;USA
Uzbekistan;UZB;REF
Holy See (Vatican City State);VAT;NEU
Saint Vincent and the Grenadines;VCT;LAM
Venezuela, Bolivarian Republic of;VEN;LAM
Virgin Islands, British;VGB;LAM
Virgin Islands, U.S.;VIR;LAM
Viet Nam;VNM;OAS
Vanuatu;VUT;OAS
Wallis and Futuna;WLF;OAS
Samoa;WSM;OAS
Yemen;YEM;Middle East
South Africa;ZAF;Africa
Zambia;ZMB;Africa
Zimbabwe;ZWE;Africa
