Full.Country.Name;ISO3.Code;Region.Code
Lebanon;LBN;Asia (excluding China)
Liberia;LBR;Africa
Libya;LBY;Africa
Saint Lucia;LCA;North America
Liechtenstein;LIE;Europe
Sri Lanka;LKA;Asia (excluding China)
Lesotho;LSO;Africa
Lithuania;LTU;Europe
Luxembourg;LUX;Europe
Latvia;LVA;Europe
Macao;MAC;Asia (excluding China)
Saint Martin (French part);MAF;North America
Morocco;MAR;Africa
Monaco;MCO;Europe
Moldova, Republic of;MDA;Europe
Madagascar;MDG;Africa
Maldives;MDV;Asia (excluding China)
Mexico;MEX;North America
Marshall Islands;MHL;Oceania
Macedonia, the former Yugoslav Republic of;MKD;Europe
Mali;MLI;Africa
Malta;MLT;Europe
Myanmar;MMR;Asia (excluding China)
Montenegro;MNE;Europe
Mongolia;MNG;Asia (excluding China)
Northern Mariana Islands;MNP;Oceania
Mozambique;MOZ;Africa
Mauritania;MRT;Africa
Montserrat;MSR;North America
Martinique;MTQ;North America
Mauritius;MUS;Africa
Malawi;MWI;Africa
Malaysia;MYS;Asia (excluding China)
Mayotte;MYT;Africa
Namibia;NAM;Africa
New Caledonia;NCL;Oceania
Niger;NER;Africa
Norfolk Island;NFK;Oceania
Nigeria;NGA;Africa
Nicaragua;NIC;North America
Niue;NIU;Oceania
Netherlands;NLD;Europe
Norway;NOR;Europe
Nepal;NPL;Asia (excluding China)
Nauru;NRU;Oceania
New Zealand;NZL;Oceania
Oman;OMN;Asia (excluding China)
Pakistan;PAK;Asia (excluding China)
Panama;PAN;North America
Pitcairn;PCN;Oceania
Peru;PER;South America
Philippines;PHL;Asia (excluding China)
Palau;PLW;Oceania
Papua New Guinea;PNG;Oceania
Poland;POL;Europe
Puerto Rico;PRI;North America
Korea, Democratic People's Republic of;PRK;Asia (excluding China)
Portugal;PRT;Europe
Paraguay;PRY;South America
Palestine, State of;PSE;Asia (excluding China)
French Polynesia;PYF;Oceania
Qatar;QAT;Asia (excluding China)
Reunion;REU;Africa
Romania;ROU;Europe
Russian Federation;RUS;Europe
Rwanda;RWA;Africa
Saudi Arabia;SAU;Asia (excluding China)
Sudan;SDN;Africa
Senegal;SEN;Africa
Singapore;SGP;Asia (excluding China)
South Georgia and the South Sandwich Islands;SGS;South America
Saint Helena, Ascension and Tristan da Cunha;SHN;Africa
Svalbard and Jan Mayen;SJM;Europe
Solomon Islands;SLB;Oceania
Sierra Leone;SLE;Africa
El Salvador;SLV;North America
San Marino;SMR;Europe
Somalia;SOM;Africa
Saint Pierre and Miquelon;SPM;North America
Serbia;SRB;Europe
South Sudan;SSD;Africa
Sao Tome and Principe;STP;Africa
Suriname;SUR;South America
Slovakia;SVK;Europe
Slovenia;SVN;Europe
Sweden;SWE;Europe
Swaziland;SWZ;Africa
Sint Maarten (Dutch part);SXM;North America
Seychelles;SYC;Africa
Syrian Arab Republic;SYR;Asia (excluding China)
Turks and Caicos Islands;TCA;North America
Chad;TCD;Africa
Togo;TGO;Africa
Thailand;THA;Asia (excluding China)
Tajikistan;TJK;Asia (excluding China)
Tokelau;TKL;Oceania
Turkmenistan;TKM;Asia (excluding China)
Timor-Leste;TLS;Asia (excluding China)
Tonga;TON;Oceania
Trinidad and Tobago;TTO;North America
Tunisia;TUN;Africa
Turkey;TUR;Asia (excluding China)
Tuvalu;TUV;Oceania
Taiwan, Province of China;TWN;Asia (excluding China)
Tanzania, United Republic of;TZA;Africa
Uganda;UGA;Africa
Ukraine;UKR;Europe
United States Minor Outlying Islands;UMI;Oceania
Uruguay;URY;South America
United States;USA;North America
Uzbekistan;UZB;Asia (excluding China)
Holy See (Vatican City State);VAT;Europe
Saint Vincent and the Grenadines;VCT;North America
Venezuela, Bolivarian Republic of;VEN;South America
Virgin Islands, British;VGB;North America
Virgin Islands, U.S.;VIR;North America
Viet Nam;VNM;Asia (excluding China)
Vanuatu;VUT;Oceania
Wallis and Futuna;WLF;Oceania
Samoa;WSM;Oceania
Yemen;YEM;Asia (excluding China)
South Africa;ZAF;Africa
Zambia;ZMB;Africa
Zimbabwe;ZWE;Africa
