Full.Country.Name;ISO3.Code;Region
Norway;NOR;Europe
Nepal;NPL;Asia Pacific
Nauru;NRU;Asia Pacific
New Zealand;NZL;Asia Pacific
Oman;OMN;Middle East
Pakistan;PAK;Asia Pacific
Panama;PAN;Central and South America
Pitcairn;PCN;Asia Pacific
Peru;PER;Central and South America
Philippines;PHL;Southeast Asia
Palau;PLW;Asia Pacific
Papua New Guinea;PNG;Asia Pacific
Poland;POL;European Union
Puerto Rico;PRI;North America
Korea, Democratic People's Republic of;PRK;Asia Pacific
Portugal;PRT;European Union
Paraguay;PRY;Central and South America
Palestine, State of;PSE;Middle East
French Polynesia;PYF;Asia Pacific
Qatar;QAT;Middle East
Reunion;REU;Africa
Romania;ROU;European Union
Russian Federation;RUS;Russia
Rwanda;RWA;Africa
Saudi Arabia;SAU;Middle East
Sudan;SDN;Africa
Senegal;SEN;Africa
Singapore;SGP;Southeast Asia
South Georgia and the South Sandwich Islands;SGS;Asia Pacific
Saint Helena, Ascension and Tristan da Cunha;SHN;Africa
Svalbard and Jan Mayen;SJM;Europe
Solomon Islands;SLB;Asia Pacific
Sierra Leone;SLE;Africa
El Salvador;SLV;Central and South America
San Marino;SMR;Europe
Somalia;SOM;Africa
Saint Pierre and Miquelon;SPM;North America
Serbia;SRB;Europe
South Sudan;SSD;Africa
Sao Tome and Principe;STP;Africa
Suriname;SUR;Central and South America
Slovakia;SVK;European Union
Slovenia;SVN;European Union
Sweden;SWE;European Union
Swaziland;SWZ;Africa
Sint Maarten (Dutch part);SXM;North America
Seychelles;SYC;Africa
Syrian Arab Republic;SYR;Middle East
Turks and Caicos Islands;TCA;North America
Chad;TCD;Africa
Togo;TGO;Africa
Thailand;THA;Southeast Asia
Tajikistan;TJK;Eurasia
Tokelau;TKL;Asia Pacific
Turkmenistan;TKM;Eurasia
Timor-Leste;TLS;Southeast Asia
Tonga;TON;Asia Pacific
Trinidad and Tobago;TTO;North America
Tunisia;TUN;Africa
Turkey;TUR;Eurasia
Tuvalu;TUV;Asia Pacific
Taiwan, Province of China;TWN;Asia Pacific
Tanzania, United Republic of;TZA;Africa
Uganda;UGA;Africa
Ukraine;UKR;Europe
United States Minor Outlying Islands;UMI;Asia Pacific
Uruguay;URY;Central and South America
United States;USA;United States
Uzbekistan;UZB;Eurasia
Holy See (Vatican City State);VAT;Europe
Saint Vincent and the Grenadines;VCT;North America
Venezuela, Bolivarian Republic of;VEN;Central and South America
Virgin Islands, British;VGB;North America
Virgin Islands, U.S.;VIR;North America
Viet Nam;VNM;Southeast Asia
Vanuatu;VUT;Asia Pacific
Wallis and Futuna;WLF;Asia Pacific
Samoa;WSM;Asia Pacific
Yemen;YEM;Middle East
South Africa;ZAF;Africa
Zambia;ZMB;Africa
Zimbabwe;ZWE;Africa
