Full.Country.Name;ISO3.Code;Region.Code
Niger;NER;RAF
Nigeria;NGA;RAF
Niue;NIU;RAS
Norfolk Island;NFK;RAS
Northern Mariana Islands;MNP;RAS
Norway;NOR;REU
Oman;OMN;MEA
Pakistan;PAK;RAS
Palau;PLW;RAS
Palestine, State of;PSE;MEA
Panama;PAN;RLA
Papua New Guinea;PNG;OCE
Paraguay;PRY;RLA
Peru;PER;RLA
Philippines;PHL;RAS
Pitcairn;PCN;RAS
Poland;POL;EUR
Portugal;PRT;EUR
Puerto Rico;PRI;RLA
Qatar;QAT;MEA
Reunion;REU;RAF
Romania;ROU;EUR
Russian Federation;RUS;RUS
Rwanda;RWA;RAF
Saint Barthelemy;BLM;RLA
Saint Helena, Ascension and Tristan da Cunha;SHN;RAF
Saint Kitts and Nevis;KNA;RLA
Saint Lucia;LCA;RLA
Saint Martin (French part);MAF;RLA
Saint Pierre and Miquelon;SPM;RWO
Saint Vincent and the Grenadines;VCT;RLA
Samoa;WSM;RAS
San Marino;SMR;REU
Sao Tome and Principe;STP;RAF
Saudi Arabia;SAU;MEA
Senegal;SEN;RAF
Serbia;SRB;REU
Seychelles;SYC;RAF
Sierra Leone;SLE;RAF
Singapore;SGP;RAS
Sint Maarten (Dutch part);SXM;RLA
Slovakia;SVK;EUR
Slovenia;SVN;EUR
Solomon Islands;SLB;RAS
Somalia;SOM;RAF
South Africa;ZAF;OCE
South Georgia and the South Sandwich Islands;SGS;RLA
South Sudan;SSD;RAF
Spain;ESP;EUR
Sri Lanka;LKA;RAS
Sudan;SDN;MEA
Suriname;SUR;RLA
Svalbard and Jan Mayen;SJM;REU
Swaziland;SWZ;RAF
Sweden;SWE;EUR
Switzerland;CHE;REU
Syrian Arab Republic;SYR;MEA
Taiwan, Province of China;TWN;CHA
Tajikistan;TJK;RWO
Tanzania, United Republic of;TZA;RAF
Thailand;THA;RAS
Timor-Leste;TLS;RAS
Togo;TGO;RAF
Tokelau;TKL;RAS
Tonga;TON;RAS
Trinidad and Tobago;TTO;RLA
Tunisia;TUN;MEA
Turkey;TUR;RAS
Turkmenistan;TKM;RWO
Turks and Caicos Islands;TCA;RLA
Tuvalu;TUV;OCE
Uganda;UGA;RAF
Ukraine;UKR;REU
United Arab Emirates;ARE;MEA
United Kingdom;GBR;GBR
United States;USA;USA
United States Minor Outlying Islands;UMI;RAS
Uruguay;URY;LAM
Uzbekistan;UZB;RWO
Vanuatu;VUT;OCE
Venezuela, Bolivarian Republic of;VEN;LAM
Viet Nam;VNM;RAS
Virgin Islands, British;VGB;RLA
Virgin Islands, U.S.;VIR;RLA
Wallis and Futuna;WLF;RAS
Western Sahara;ESH;MEA
Yemen;YEM;MEA
Zambia;ZMB;RAF
Zimbabwe;ZWE;RAF
