"GEM.E3.region","ISO3.Code","OPEN.PROM.Region"
"ROW","KGZ","REF"
"ROW","LAO","OAS"
"LVA","LVA","LVA"
"ROW","LBN","MEA"
"ROW","LSO","SSA"
"ROW","LBR","SSA"
"ROW","LBY","MEA"
"ROW","LIE","NEU"
"LTU","LTU","LTU"
"LUX","LUX","LUX"
"ROW","MAC","CHA"
"ROW","MKD","NEU"
"ROW","MDG","SSA"
"ROW","MWI","SSA"
"ROW","MYS","OAS"
"ROW","MDV","OAS"
"ROW","MLI","SSA"
"MLT","MLT","MLT"
"ROW","MHL","OAS"
"ROW","MTQ","LAM"
"ROW","MRT","SSA"
"ROW","MUS","SSA"
"ROW","MYT","SSA"
"ROW","MEX","LAM"
"ROW","FSM","OAS"
"ROW","MDA","REF"
"ROW","MCO","NEU"
"ROW","MNG","OAS"
"ROW","MNE","NEU"
"ROW","MSR","LAM"
"ROW","MAR","MEA"
"ROW","MOZ","SSA"
"ROW","MMR","OAS"
"ROW","NAM","SSA"
"ROW","NRU","OAS"
"ROW","NPL","OAS"
"NLD","NLD","NLD"
"ROW","NCL","OAS"
"ROW","NZL","CAZ"
"ROW","NIC","LAM"
"ROW","NER","SSA"
"ROW","NGA","SSA"
"ROW","NIU","OAS"
"ROW","NFK","OAS"
"ROW","MNP","OAS"
"ROW","NOR","NEU"
"ROW","OMN","MEA"
"ROW","PAK","OAS"
"ROW","PLW","OAS"
"ROW","PAN","LAM"
"ROW","PNG","OAS"
"ROW","PRY","LAM"
"ROW","PER","LAM"
"ROW","PHL","OAS"
"ROW","PCN","OAS"
"POL","POL","POL"
"PRT","PRT","PRT"
"ROW","PRI","LAM"
"ROW","QAT","MEA"
"ROW","REU","SSA"
"ROU","ROU","ROU"
"ROW","RUS","REF"
"ROW","RWA","SSA"
"ROW","SHN","SSA"
"ROW","KNA","LAM"
"ROW","LCA","LAM"
"ROW","SPM","CAZ"
"ROW","VCT","LAM"
"ROW","WSM","OAS"
"ROW","SMR","NEU"
"ROW","STP","SSA"
"ROW","SAU","MEA"
"ROW","SEN","SSA"
"ROW","SRB","NEU"
"ROW","SYC","SSA"
"ROW","SLE","SSA"
"ROW","SGP","OAS"
"SVK","SVK","SVK"
"SVN","SVN","SVN"
"ROW","SLB","OAS"
"ROW","SOM","SSA"
"ROW","ZAF","SSA"
"ROW","SGS","LAM"
"ESP","ESP","ESP"
"ROW","LKA","OAS"
"ROW","SDN","MEA"
"ROW","SUR","LAM"
"ROW","SJM","NEU"
"ROW","SWZ","SSA"
"SWE","SWE","SWE"
"ROW","CHE","NEU"
"ROW","SYR","MEA"
"ROW","TWN","CHA"
"ROW","TJK","REF"
"ROW","TZA","SSA"
"ROW","THA","OAS"
"ROW","TGO","SSA"
"ROW","TKL","OAS"
"ROW","TON","OAS"
"ROW","TTO","LAM"
"ROW","TUN","MEA"
"ROW","TUR","NEU"
"ROW","TKM","REF"
"ROW","TCA","LAM"
"ROW","TUV","OAS"
"ROW","UGA","SSA"
"ROW","UKR","REF"
"ROW","ARE","MEA"
"ROW","GBR","GBR"
"ROW","USA","USA"
"ROW","UMI","OAS"
"ROW","URY","LAM"
"ROW","UZB","REF"
"ROW","VUT","OAS"
"ROW","VEN","LAM"
"ROW","VNM","OAS"
"ROW","VGB","LAM"
"ROW","VIR","LAM"
"ROW","WLF","OAS"
"ROW","ESH","MEA"
"ROW","YEM","MEA"
"ROW","ZMB","SSA"
"ROW","ZWE","SSA"
"ROW","ALA","NEU"
"ROW","BES","LAM"
"ROW","BLM","LAM"
"ROW","CUW","LAM"
"ROW","GGY","NEU"
"ROW","IMN","NEU"
"ROW","JEY","NEU"
"ROW","MAF","LAM"
"ROW","PSE","MEA"
"ROW","SSD","SSA"
"ROW","SXM","LAM"
