Full.Country.Name;ISO3.Code;Region.Code,
Saint Kitts and Nevis;KNA;RWO,
Saint Lucia;LCA;RWO,
Saint Martin (French part);MAF;RWO,
Saint Pierre and Miquelon;SPM;RWO,
Saint Vincent and the Grenadines;VCT;RWO,
Samoa;WSM;RWO,
San Marino;SMR;RWO,
Sao Tome and Principe;STP;RWO,
Saudi Arabia;SAU;RWO,
Senegal;SEN;RWO,
Serbia;SRB;RWO,
Seychelles;SYC;RWO,
Sierra Leone;SLE;RWO,
Singapore;SGP;RWO,
Sint Maarten (Dutch part);SXM;RWO,
Slovakia;SVK;RWO,
Slovenia;SVN;RWO,
Solomon Islands;SLB;RWO,
Somalia;SOM;RWO,
South Africa;ZAF;RWO,
South Georgia and the South Sandwich Islands;SGS;RWO,
South Sudan;SSD;RWO,
Spain;ESP;RWO,
Sri Lanka;LKA;RWO,
Sudan;SDN;RWO,
Suriname;SUR;RWO,
Svalbard and Jan Mayen;SJM;RWO,
Swaziland;SWZ;RWO,
Sweden;SWE;RWO,
Switzerland;CHE;RWO,
Syrian Arab Republic;SYR;RWO,
Taiwan, Province of China;TWN;CHA
Tajikistan;TJK;RWO,
Tanzania, United Republic of;TZA;RWO
Thailand;THA;RWO,
Timor-Leste;TLS;RWO,
Togo;TGO;RWO,
Tokelau;TKL;RWO,
Tonga;TON;RWO,
Trinidad and Tobago;TTO;RWO,
Tunisia;TUN;RWO,
Turkey;TUR;RWO,
Turkmenistan;TKM;RWO,
Turks and Caicos Islands;TCA;RWO,
Tuvalu;TUV;RWO,
Uganda;UGA;RWO,
Ukraine;UKR;RWO,
United Arab Emirates;ARE;RWO,
United Kingdom;GBR;RWO,
United States;USA;USA,
United States Minor Outlying Islands;UMI;RWO,
Uruguay;URY;RWO,
Uzbekistan;UZB;RWO,
Vanuatu;VUT;RWO,
Venezuela, Bolivarian Republic of;VEN;RWO
Viet Nam;VNM;RWO,
Virgin Islands, British;VGB;RWO
Virgin Islands, U.S.;VIR;RWO
Wallis and Futuna;WLF;RWO,
Western Sahara;ESH;RWO,
Yemen;YEM;RWO,
Zambia;ZMB;RWO,
Zimbabwe;ZWE;RWO,
